season,week,game_id,gameday,away,home,location,observedMargin,h4Base,homeStrength,awayStrength,baselineMargin,residual,bookNetSUnits,travelMiles,EXT_ALTITUDE_HIGH,EXT_BYE_STRENGTH,EXT_REST_DIFF_DAYS,EXT_SURFACE_AWAY_SYNTH_MISMATCH,EXT_TRAVEL_1000MI,EXT_TRAVEL_1250_1999,EXT_TRAVEL_750_1249,EXT_TRAVEL_X_ROAD,EXT_TZ_EARLY_EASTWARD,EXT_TZ_NIGHT_WESTWARD,S_AWAY_BOUNCE,S_AWAY_BYE,S_AWAY_OFF_AWAY_OT,S_AWAY_OFF_HOME_OT,S_AWAY_OFF_MNF_AWAY,S_AWAY_OFF_MNF_HOME,S_DIFFERENT_CONFERENCE,S_EARLY_MOUNTAIN,S_EARLY_WEST,S_HOME_BOUNCE,S_HOME_BYE,S_HOME_MONDAY_NIGHT,S_HOME_OFF_AWAY_OT,S_HOME_OFF_HOME_OT,S_HOME_OFF_MNF_AWAY,S_HOME_SUNDAY_NIGHT,S_HOME_THURSDAY_NIGHT,S_NIGHT_CENTRAL,S_NIGHT_EAST,S_NIGHT_MOUNTAIN,S_SAME_DIVISION,S_SB_LOSER,S_SB_WINNER,S_SECOND_REMOTE_TWO_TZ,S_THIRD_AWAY_IN_FOUR,S_TRAVEL_2000_PLUS,S_TURF_OPPOSITE,S_TURF_SAME
2021,1,2021_01_NYJ_CAR,2021-09-12,NYJ,CAR,Home,5.0,2.082,-3.13306,-5.365637,4.314577,0.685423,2.0,533.679722,0.0,0.0,0.0,1.0,0.53368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,1,2021_01_PHI_ATL,2021-09-12,PHI,ATL,Home,-26.0,2.082,-0.512576,0.586251,0.983174,-26.983174,1.0,663.458629,0.0,0.0,0.0,0.0,0.663459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,1,2021_01_PIT_BUF,2021-09-12,PIT,BUF,Home,-7.0,2.082,-1.598955,1.624755,-1.14171,-5.85829,1.0,172.856434,0.0,0.0,0.0,0.0,0.172856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,1,2021_01_SEA_IND,2021-09-12,SEA,IND,Home,-12.0,2.082,1.159331,2.592777,0.648554,-12.648554,2.0,1867.630648,0.0,0.0,0.0,0.0,1.867631,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,1,2021_01_SF_DET,2021-09-12,SF,DET,Home,-8.0,2.082,-2.686402,2.045955,-2.650357,-5.349643,4.0,2073.607984,0.0,0.0,0.0,0.0,2.073608,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021,2,2021_02_ATL_TB,2021-09-19,ATL,TB,Home,23.0,2.082,-1.079986,-1.030779,2.032793,20.967207,0.0,414.852675,0.0,0.0,3.0,1.0,0.414853,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_BUF_MIA,2021-09-19,BUF,MIA,Home,-35.0,2.082,-7.497647,-1.855244,-3.560403,-31.439597,0.0,1164.757936,0.0,0.0,0.0,1.0,1.164758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_CIN_CHI,2021-09-19,CIN,CHI,Home,3.0,2.082,2.582184,-5.060941,9.725125,-6.725125,8.0,251.165765,0.0,0.0,0.0,1.0,0.251166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_DAL_LAC,2021-09-19,DAL,LAC,Home,-3.0,2.082,2.501167,2.328153,2.255014,-5.255014,0.0,1226.785849,0.0,0.0,-3.0,0.0,1.226786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,2,2021_02_DEN_JAX,2021-09-19,DEN,JAX,Home,-10.0,2.082,-4.24875,-0.557317,-1.609432,-8.390568,2.0,1468.244756,0.0,0.0,0.0,0.0,1.468245,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0
2021,2,2021_02_DET_GB,2021-09-20,DET,GB,Home,18.0,2.082,0.151797,-2.864965,5.098762,12.901238,12.0,292.632421,0.0,0.0,0.0,1.0,0.292632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_HOU_CLE,2021-09-19,HOU,CLE,Home,10.0,2.082,-1.639457,1.884287,-1.441744,11.441744,1.0,1119.9254,0.0,0.0,0.0,1.0,1.119925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,2,2021_02_KC_BAL,2021-09-19,KC,BAL,Home,1.0,2.082,8.102926,7.240922,2.944004,-1.944004,2.0,955.425332,0.0,0.0,-1.0,0.0,0.955425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-4.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
